시즌,제목,리뷰수,평점,줄거리
5,Day 5: 4:00 a.m.-5:00 a.m.,"1,170",8.2,"Vladimir Bierko manages to escape custody and take control of a submarine, the Natalia, bent on getting his revenge against the US. Jack reluctantly teams up with Henderson in hopes of getting a lead on Bierko, while Martha helps Aaron."
5,Day 5: 5:00 a.m.-6:00 a.m.,"1,207",8.7,Jack Bauer teams up with Christopher Henderson to put an end to Vladimir Bierko's terrorism.
5,Day 5: 6:00 a.m.-7:00 a.m.,"1,495",9.1,Jack Bauer works with Martha Logan to get a confession out of President Logan and an old antagonist returns to settle a score with Jack.
6,Season 6 Prequel,713,8.0,"After being handed over by the United States to the Chinese government, Jack Bauer is tortured."
6,Day 6: 6:00 a.m.-7:00 a.m.,"1,427",8.3,A new U.S. President has negotiated Jack's release from a Chinese prison so Jack can stop a series of terror attacks... with his life.
6,Day 6: 7:00 a.m.-8:00 a.m.,"1,252",8.3,Can Jack and an unlikely ally stop a suicide bomber and track the architect of these acts of terror?
6,Day 6: 8:00 a.m.-9:00 a.m.,"1,194",8.0,"Jack and former terrorist leader turned peacemaker, Hamri Al-Assad, track a suspicious man to a self-storage facility."
6,Day 6: 9:00 a.m.-10:00 a.m.,"1,430",8.9,"While Jack has problems with Curtis, CTU discovers a nuclear threat and raids a terrorist warehouse, and a shocking explosion shakes LA."
6,Day 6: 10:00 a.m.-11:00 a.m.,"1,198",8.0,"Four more ""suitcase nukes"" are out there, and Jack's only lead takes him to the home of his brother."
6,Day 6: 11:00 a.m.-12:00 p.m.,"1,145",7.8,Jack finds himself confronting his father while the lead terrorist needs help if he's to explode the remaining bombs.
6,Day 6: 12:00 p.m.-1:00 p.m.,"1,138",8.0,Family troubles: Jack with his brother and father while Morris worries about his own brother.
6,Day 6: 1:00 p.m.-2:00 p.m.,"1,114",8.0,"The President meets with a known terrorist, while Jack searches for Morris, Fayed seeks a trigger, and Tom Lennox makes a choice."
6,Day 6: 2:00 p.m.-3:00 p.m.,"1,105",8.0,"Jack looks for a Russian national as his father plots with shadowy patriots. Meanwhile, the President and the Constitution may be in danger."
6,Day 6: 3:00 p.m.-4:00 p.m.,"1,122",8.0,"While Jack looks for Gredenko and tries to save Josh, White House intrigue deepens."
6,Day 6: 4:00 p.m.-5:00 p.m.,"1,127",7.9,"Jack's search takes him to the home of an old enemy, while a bomber slips into the White House."
6,Day 6: 5:00 p.m.-6:00 p.m.,"1,121",8.0,"Jack's search takes him to the Russian Consulate, while the Vice President contemplates a sweeping executive order."
6,Day 6: 6:00 p.m.-7:00 p.m.,"1,122",8.1,The search for Gredenko finds Jack hunted inside the Russian Consulate and a former President calling on his ex-wife.
6,Day 6: 7:00 p.m.-8:00 p.m.,"1,111",7.9,"CTU's satellite tracking system is compromised as a bomb-carrying drone heads toward an unknown city. Meanwhile, US forces prepare for a nuclear retaliation on the Middle East."
6,Day 6: 8:00 p.m.-9:00 p.m.,"1,113",7.9,"Jack enlists the help of an autistic man in the search for Gredenko, and Sandra Palmer makes a fateful decision."
6,Day 6: 9:00 p.m.-10:00 p.m.,"1,123",8.0,"Jack baits Fayed with Gredenko, while the President faces a challenge to his office."
6,Day 6: 10:00 p.m.-11:00 p.m.,"1,264",8.7,"To find the remaining suitcase bombs, both Jack and the President set up bluffs."
6,Day 6: 11:00 p.m.-12:00 a.m.,"1,095",7.8,"The Chinese want Jack to give them Russian nuclear technology, and the President wants the Vice President's resignation."
6,Day 6: 12:00 a.m.-1:00 a.m.,"1,091",7.7,"Jack goes rogue to save a woman, and the White House needs a fall guy for Fayed's success."
6,Day 6: 1:00 a.m.-2:00 a.m.,"1,117",7.7,"A missing computer circuit board: the Russians get wind of Chinese espionage, the White House must find a leak, and CTU interrogates an unlikely witness."
6,Day 6: 2:00 a.m.-3:00 a.m.,"1,130",8.1,"Russian ire worries the White House, while the Chinese take on CTU, and the damaged circuit board is in surprising hands."
6,Day 6: 3:00 a.m.-4:00 a.m.,"1,096",7.9,"Russia presses the White House, while Jack must try to thwart the Chinese and his oldest antagonist simultaneously."
6,Day 6: 4:00 a.m.-5:00 a.m.,"1,137",7.9,"In order to prevent a war with Russia, the White House orders a trade of Jack's nephew for the circuit board, and puts Jack in custody so he cannot stop the exchange."
6,Day 6: 5:00 a.m.-6:00 a.m.,"1,310",8.1,"Jack rushes toward his nephew and his oldest antagonist, as a Chinese sub and F-18s race for the same destination. Chloe faints. Can Jack find any peace?"
7,Day 7: 8:00 a.m.-9:00 a.m.,"1,393",8.2,"The FBI pulls Jack Bauer from a Senate hearing because an old pal of Jack's may be planning terror, while the President calls for military action in Africa."
7,Day 7: 9:00 a.m.-10:00 a.m.,"1,171",8.1,A device that overrides the nation's homeland systems falls into enemy hands while the President's husband investigates his son's recent death.
7,Day 7: 10:00 a.m.-11:00 a.m.,"1,194",8.7,"Conspiracy may be deep within the President's administration, her dead son may not have killed himself, and a colleague Jack thought was dead has turned terrorist: how are these surprises related?"
7,Day 7: 11:00 a.m.-12:00 p.m.,"1,140",8.1,"Bauer decides to trust two former CTU colleagues, and he helps a third escape from the FBI."
7,Day 7: 12:00 p.m.-1:00 p.m.,"1,120",8.1,Jack helps terrorists kidnap a deposed prime minister while an FBI agent and the President's spouse are in grave danger.
7,Day 7: 1:00 p.m.-2:00 p.m.,"1,076",8.1,"The President defies murderous demands, while Jack and his CTU colleagues unearth an FBI Agent and plant a wire on a deposed Prime Minister. Who's in the conspiracy?"
7,Day 7: 2:00 p.m.-3:00 p.m.,"1,079",8.1,Jack and his patchwork team race to prevent an act of terror against a chemical plant; the President's husband and an African Prime Minister remain in danger.
7,Day 7: 3:00 p.m.-4:00 p.m.,"1,058",8.2,Jack and an FBI agent believed dead have less than an hour to rescue the First Gentleman from certain death. Can they trust anyone?
7,Day 7: 4:00 p.m.-5:00 p.m.,"1,064",8.1,The President rushes to the hospital as Dubaku plans an escape to Belize with Marika. The mole at the FBI keeps burrowing.
7,Day 7: 5:00 p.m.-6:00 p.m.,"1,081",8.4,Moles within the U.S. government go to great lengths to protect their anonymity when they fear that Dubaku's list of corrupt employees will fall into FBI hands.
7,Day 7: 6:00 p.m.-7:00 p.m.,"1,079",8.1,"Intelligence suggests another attack is imminent, so Jack goes to the White House to interrogate a Senator's Chief of Staff."
7,Day 7: 7:00 p.m.-8:00 p.m.,"1,211",8.8,"General Juma's direct attack on the White House endangers the President, Jack, Bill Buchanan, and the President's daughter."
7,Day 7: 8:00 p.m.-9:00 p.m.,"1,108",8.6,"While the President is in danger and the Vice President vacillates, Jack and Bill try to counter Juma, realizing later that his plot is part of a larger threat."
7,Day 7: 9:00 p.m.-10:00 p.m.,"1,068",8.4,"Jack visits a U.S. Senator in pursuit of links between Juma and Starkwood, an international corporation. Security leaks at the FBI continue as they hunt for Jack."
7,Day 7: 10:00 p.m.-11:00 p.m.,"1,038",8.1,"While the FBI hunts for Jack, he and another ex-CTU rogue search for biological weapons that Starkwood has smuggled into the U.S."
7,Day 7: 11:00 p.m.-12:00 a.m.,"1,042",8.1,"After Jack is exposed to a biological agent, Moss leads an FBI strike force onto the Starkwood compound in search of weapons of mass destruction."
7,Day 7: 12:00 a.m.-1:00 a.m.,"1,029",8.0,"Jack battles the effects of toxic exposure, a reporter squeezes the President's Chief of Staff, and it is a race against time to locate weapons on the Starkwood compound."
7,Day 7: 1:00 a.m.-2:00 a.m.,"1,092",8.4,The President meets with Jonas Hodges while Jack battles toxins in his body and works with someone inside the Starkwood compound: can they destroy the bio-weapons before rockets rain death on U.S. cities?
7,Day 7: 2:00 a.m.-3:00 a.m.,"1,035",8.1,"As grief and loss begin to overwhelm Jack and those he is close to, a double-cross goes undetected, a canister of toxic gas is in enemy hands, and a surprise death occurs."
7,Day 7: 3:00 a.m.-4:00 a.m.,"1,053",7.9,"A shadowy group of powerful people decide to stage another attack as Jack rues trusting the wrong person, Jonas seeks asylum, and the CTU servers boot up."
7,Day 7: 4:00 a.m.-5:00 a.m.,"1,031",7.7,"Olivia wants revenge against Jonas, while Jack, Chloe, Janis, and Renee try to locate a young Arab who is being set up to take the fall for a new terrorist attack."
7,Day 7: 5:00 a.m.-6:00 a.m.,"1,046",8.0,"Jack and Renee pursue the final canister, which is on the Metro, ready to explode. Chloe and Janis match wits. Kim sits at the airport about to fly home, while a cover up begins at the White House."
7,Day 7: 6:00 a.m.-7:00 a.m.,"1,068",8.3,"Jack is abducted for nefarious purposes, Kim sits in danger at the airport, and Olivia matches wits with Ethan Kanin."
7,Day 7: 7:00 a.m.-8:00 a.m.,"1,236",8.5,"Jack seeks solace from a hospital bed, a shadowy traitor comes into the open, and President Taylor, Renee Walker, and Kim Bauer each have a decision to make."
8,Day 8: 4:00 p.m.-5:00 p.m.,"1,362",8.0,A plot to assassinate the President of the Islamic Republic at the UN building comes to Jack Bauer's attention.
8,Day 8: 5:00 p.m.-6:00 p.m.,"1,125",7.8,"CTU detains a reporter it suspects of helping assassins, while Jack and Chloe start their own investigation."
8,Day 8: 6:00 p.m.-7:00 p.m.,"1,084",8.0,Jack and Chloe race against time to try to thwart a well-planned assassination of the President of the Islamic Republic.
8,Day 8: 7:00 p.m.-8:00 p.m.,"1,081",8.0,"CTU wants ex-FBI agent, Renee Walker, to infiltrate a Russian gang which is selling weapons-grade enriched uranium to the assassination plotters."
8,Day 8: 8:00 p.m.-9:00 p.m.,"1,068",7.7,"The Russians mistrust Renee, U.S.-Kamistan negotiations hit a snag, and the past of CTU analyst Dana Walsh becomes her nightmare."
8,Day 8: 9:00 p.m.-10:00 p.m.,"1,048",7.7,"Jack is set up, Renee makes a sacrifice, and Dana sends her ex into a police warehouse. Meanwhile, an arms trader deals with his sons, and the President buys time."
8,Day 8: 10:00 p.m.-11:00 p.m.,"1,025",7.8,"President Hassan's actions become paranoid and Dana's ex faces capture, while Renee and Jack kick open a hornet's nest among New York's Russian underworld."
8,Day 8: 11:00 p.m.-12:00 a.m.,"1,006",7.9,"While nuclear materials are en route to Kamistanis attempting a coup, Kayla confronts her father, Dana makes a decision, and Jack endures torture."
8,Day 8: 12:00 a.m.-1:00 a.m.,"1,030",7.6,"The White House wants a fall guy, Jack tries to protect that person, Dana goes after her ex, Cole follows her, and CTU gets help from an unlikely source."
8,Day 8: 1:00 a.m.-2:00 a.m.,"1,009",7.7,"President Taylor asks for President Hassan's help, Kayla goes missing, a New Jersey swamp claims two bodies, and Jack sets up a ruse to flush out Kamistani rebels."
8,Day 8: 2:00 a.m.-3:00 a.m.,"1,019",8.0,"A mother wants to save her son, an estranged couple reconnects to look for their daughter, and Jack races against the clock to dissuade a suicide bomber."
8,Day 8: 3:00 a.m.-4:00 a.m.,"1,057",8.4,"Nuclear fuel rods await transport into Manhattan, Jack pursues a lead to a hotel, Kayla is in danger, and a Southern probation officer wants information from Dana."
8,Day 8: 4:00 a.m.-5:00 a.m.,"1,016",8.0,"Chloe goes up against NSA testosterone, Jack and Cole are in a firefight as the nuclear fuel rods are en route to Manhattan, and an evacuation from the UN is imminent."
8,Day 8: 5:00 a.m.-6:00 a.m.,998,8.0,"Kamistani rebels give President Taylor an hour to turn over Hassan, sedition strikes Taylor's administration, CTU harbors a traitor, and Jack walks into an ambush."
8,Day 8: 6:00 a.m.-7:00 a.m.,"1,003",8.3,"As dawn breaks over New York, President Taylor endures a game-changing setback as the threat of mass destruction looms. Meanwhile, President Hassan makes a shocking decision that surprises his loved ones. But before long, trusted confidantes will become enemies of the state, and it's only the beginning of the betrayals that are to come as the race against time ticks on."
8,Day 8: 7:00 a.m.-8:00 a.m.,"1,128",8.8,"A traitor makes a deal for immunity, while Jack and Renee race uptown to rescue a hostage."
8,Day 8: 8:00 a.m.-9:00 a.m.,"1,096",8.5,"President Taylor requests a woman's help and brings in a disgraced ex-President who may have leverage with the Russians, while Jack and Renee take their leave of CTU, and Chloe gets a promotion."
8,Day 8: 9:00 a.m.-10:00 a.m.,"1,028",8.2,"President Taylor's envoy to the Russians persuades them to return to the peace table, but at what cost? Jack goes to CTU to interrogate a nearly-forgotten traitor, and the President decides to talk to Jack there."
8,Day 8: 10:00 a.m.-11:00 a.m.,"1,024",7.9,"President Taylor faces impossible choices, and, much to the dismay of CTU, she enlists a private security firm to complete a sensitive task led by Mark Bledsoe. Meanwhile, Jack calls in a favor to his old friend Rick Vickers before embarking on a crucial mission of his own."
8,Day 8: 11:00 a.m.-12:00 p.m.,"1,056",8.5,"While the media interview the peace delegates, Jack and Cole have gone rogue to rescue a traitor being tortured by off-the-grid operatives; Logan gets President Taylor to approve putting his aide in charge of the manhunt."
8,Day 8: 12:00 p.m.-1:00 p.m.,"1,100",8.7,"While delegates review the peace agreement, Jack searches for evidence of Russian involvement in the day's tragedies, covered up at the highest levels. Ex-President Logan is desperate to neutralize Jack."
8,Day 8: 1:00 p.m.-2:00 p.m.,"1,240",8.9,"Jack's rogue operation includes kidnapping a high-profile target. Pools of blood, a knife wound, and Chloe's mistrust of her new supervisor add texture, while President Taylor feels the loneliness of power."
8,Day 8: 2:00 p.m.-3:00 p.m.,"1,154",8.8,"The Russian Federation President arrives to sign the accord, Jack wants justice, and Logan stays in pursuit. Meanwhile, Dalia has a realization, President Taylor rattles her sabers, and Chloe tests her mettle."
8,Day 8: 3:00 p.m.-4:00 p.m.,"1,662",9.0,"Heads of state gather at the UN to sign the accord, three at CTU make a final effort to expose a conspiracy, Logan and Pillar tie up loose ends, and justice may elude Jack."
